Team,Year,Sport,Event,Medal
Germany,1964,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Germany,1964,Equestrianism,"Equestrianism Mixed Dressage, Team",Gold
Germany,2008,Table Tennis,Table Tennis Men's Team,Silver
Germany,2012,Table Tennis,Table Tennis Men's Team,Bronze
Germany,2016,Table Tennis,Table Tennis Men's Team,Bronze
Italy,1952,Boxing,Boxing Men's Lightweight,Gold
Italy,1992,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Italy,1980,Basketball,Basketball Men's Basketball,Silver
France,1980,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
Germany,2004,Judo,Judo Women's Lightweight,Gold
Germany,1972,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Germany,1976,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
France,1980,Fencing,"Fencing Men's Foil, Team",Gold
Italy,1996,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
Italy,1996,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
Italy,2000,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Gold
Italy,2004,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
France,2008,Sailing,Sailing Men's Windsurfer,Silver
Germany,1992,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
Germany,1976,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
Italy,1988,Athletics,Athletics Men's Marathon,Gold
France,2016,Fencing,"Fencing Men's epee, Team",Gold
Italy,1984,Fencing,"Fencing Men's Foil, Team",Gold
Belgium,2008,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Germany,1992,Rowing,Rowing Women's Double Sculls,Gold
Germany,1996,Rowing,Rowing Women's Quadruple Sculls,Gold
Germany,2000,Rowing,Rowing Women's Double Sculls,Gold
Germany,2004,Rowing,Rowing Women's Quadruple Sculls,Gold
Germany,2008,Rowing,Rowing Women's Quadruple Sculls,Bronze
Germany,1980,Sailing,Sailing Mixed Two Person Dinghy,Silver
Germany,1968,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Germany,1972,Sailing,Sailing Mixed Three Person Keelboat,Silver
Germany,1992,Fencing,"Fencing Men's epee, Team",Gold
Italy,1988,Fencing,"Fencing Women's Foil, Team",Silver
Italy,1996,Fencing,"Fencing Women's Foil, Team",Gold
Germany,1972,Rowing,Rowing Men's Coxed Eights,Bronze
Italy,1964,Rowing,Rowing Men's Coxed Fours,Silver
Italy,1968,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Spain,2004,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
France,1996,Rowing,Rowing Men's Coxless Fours,Silver
Italy,1960,Boxing,Boxing Men's Light-Middleweight,Silver
France,2016,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Germany,1968,Rowing,Rowing Men's Coxless Pairs,Gold
